company_name,sector,target_segment,hq_country,hq_city,website,contact_url,signal_title,signal_summary,signal_source_url,signal_date,priority_score,offer_angle,next_action,lead_status,notes
"Credit Agricole CIB","Banking","Enterprise","France","Montrouge","https://www.ca-cib.com","https://www.ca-cib.com/contact-us","CA CIB role focused on generative AI and ML","Hiring around gen AI indicates immediate adoption and capability scaling needs.","https://jobs.ca-cib.com/offre-de-emploi/emploi-cdd-ml-engineer-focus-on-generative-ai-h-f_12491.aspx","","74","GenAI rollout support for business and control functions","Lead with governance + productivity blend.","new","Corporate banking context values risk control messaging."
"LCL","Banking","Enterprise","France","Villejuif","https://www.lcl.fr","https://www.lcl.fr/contact","LCL appears in Credit Agricole AI-related hiring context","Bank unit likely needs team-level AI enablement aligned with group strategy.","https://groupecreditagricole.jobs/fr/nos-offres?search=lcl","2026-02-25","72","Department-level AI training tied to workflow KPIs","Target operations and client support departments.","new","Entity-level entry point may be easier than full group deal."
"AXA","Insurance","Enterprise","France","Paris","https://www.axa.com","https://www.axa.com/en/contact-us","AXA communication on AI opportunities risks and governance","Clear focus on AI governance supports adoption + policy training offers.","https://www.axa.com/en/magazine/artificial-intelligence-opportunities-risks-and-governance","2024-12-02","74","Responsible AI deployment for insurance teams","Open with AI governance diagnostic workshop.","new","Insurance buyers prioritize risk controls and auditability."
"VINCI","Construction and infrastructure","Enterprise","France","Nanterre","https://www.vinci.com","https://www.vinci.com/vinci.nsf/en/contact/pages/index.htm","VINCI publication on AI adoption boundaries and change","Change-management angle fits practical AI training for operational teams.","https://www.vinci.com/vinci.nsf/en/news-update/pages/artificial_intelligence_at_vinci_overcoming_resistance_to_change_while_setting_clear_boundaries_072024.htm","2024-07-01","73","AI change-management training for field and project teams","Pitch adoption framework with frontline use cases.","new","Good fit if tied to productivity and safety metrics."
"Thales","Defense and aerospace","Enterprise","France","Meudon","https://www.thalesgroup.com","https://www.thalesgroup.com/en/contact-us","Thales communication around AI at group level","Mature AI environment still requires broad business adoption programs.","https://www.thalesgroup.com/en/group/journalist/ai-thales","","71","AI literacy for non-technical business units","Target one corporate function before scaling.","new","Highly structured procurement and security constraints."
"ENGIE (Tractebel)","Energy and engineering","Enterprise","France","Courbevoie","https://www.engie.com","https://www.engie.com/en/contact-us","ENGIE hiring internship focused on AI for information systems","Hiring signal suggests active AI projects and demand for adoption support.","https://jobs.engie.com/job/Courbevoie-STAGE-Intelligence-Artificielle-Syst%C3%A8me-d%27information-HF-92400/1175226001/","2025-11-17","72","AI onboarding for engineering and support teams","Use talent and change pressure as urgency trigger.","new","Entry through one engineering entity can reduce sales friction."
"Michelin","Industrial manufacturing","Enterprise","France","Clermont-Ferrand","https://www.michelin.com","https://www.michelin.com/en/contact-us/","Michelin narrative on AI serving people and performance","Manufacturing AI messaging aligns with structured upskilling offers.","https://www.michelin.com/en/innovation/artificial-intelligence-at-the-service-of-humanity/","","72","AI training linked to plant and supply-chain performance","Propose a plant-focused pilot with measurable KPIs.","new","Industrial context needs concrete ROI framing."
"Carrefour","Retail","Enterprise","France","Massy","https://www.carrefour.com","https://www.carrefour.com/en/contact-us","Carrefour launched data and retail media platform","Data-centric strategic move creates AI adoption opportunities in commercial teams.","https://www.carrefour.com/en/newsroom/carrefour-launches-carrefour-links-its-new-data-retail-media-platform","","74","AI enablement for merchandising and marketing teams","Pitch AI for pricing, assortment, and campaign operations.","new","Retail needs short-cycle visible wins."
"Saint-Gobain","Construction materials","Enterprise","France","Courbevoie","https://www.saint-gobain.com","https://www.saint-gobain.com/en/contact-us","Saint-Gobain innovation strategy includes digitalization","Digitalization strategy indicates demand for adoption across multiple functions.","https://www.saint-gobain.com/en/news/our-innovation-strategy-driving-growth-through-sustainability-and-digitalization","","69","AI adoption playbook for industrial and support teams","Start with one country unit and replicate.","new","Signal is broader digitalization; qualify AI budget early."
"XEFI","IT services","SMB and Mid-market","France","Rillieux-la-Pape","https://www.xefi.com","https://www.xefi.com/contact","XEFI hiring on AI-related profile","IT services actor can be both client and channel for broader SME rollout.","https://carriere.xefi.fr/front-jobs-detail.html?id_job=13043&id_origin=0","","81","Partner-enabled AI training for SME customers","Approach as both direct account and reseller channel.","new","High leverage if partner model is accepted."
"Keolis","Mobility services","Enterprise","France","Paris","https://www.keolis.com","https://www.keolis.com/en/contact","Keolis content on generative AI in operations","Mobility operator use cases fit AI enablement programs for support functions.","https://www.keolis.com/fr/medias/actualites/ia-generative","","70","Operational AI training with governance baseline","Propose quick diagnostic plus targeted training cohorts.","new","Transit operators need practical and compliant use cases."
"Teleperformance","BPO and customer operations","Enterprise","France","Paris","https://www.teleperformance.com","https://www.teleperformance.com/en-us/contact-us","External coverage on AI impact in call-center operations","High disruption pressure in BPO makes adoption and re-skilling urgent.","https://www.lemonde.fr/economie/article/2024/03/29/teleperformance-geant-des-centres-d-appels-face-au-vertige-de-l-intelligence-artificielle_6224792_3234.html","2024-03-29","76","AI transition program for customer-service managers and agents","Lead with workforce transition and productivity positioning.","new","Source is press coverage; validate internal sponsor early."
